lat;lon;crs;tas_anom
-89.5;70.5;b'';2.1090348
-89.5;71.5;b'';2.1095634
-89.5;72.5;b'';2.1089518
-89.5;73.5;b'';2.107804
-89.5;74.5;b'';2.1107957
-89.5;75.5;b'';2.111478
-89.5;76.5;b'';2.111073
-89.5;77.5;b'';2.112635
-89.5;78.5;b'';2.1114242
-89.5;79.5;b'';2.1134357
-89.5;80.5;b'';2.1155167
-89.5;81.5;b'';2.1203885
-89.5;82.5;b'';2.1182425
-89.5;83.5;b'';2.1199908
-89.5;84.5;b'';2.1209452
-89.5;85.5;b'';2.122144
-89.5;86.5;b'';2.1212275
-89.5;87.5;b'';2.123129
-89.5;88.5;b'';2.1219969
-89.5;89.5;b'';2.1278713
-89.5;90.5;b'';2.1294546
-89.5;91.5;b'';2.1239417
-89.5;92.5;b'';2.1248407
-89.5;93.5;b'';2.1287403
-89.5;94.5;b'';2.1261816
-89.5;95.5;b'';2.1235912
-89.5;96.5;b'';2.1245692
-89.5;97.5;b'';2.1244917
-89.5;98.5;b'';2.1167536
-89.5;99.5;b'';2.1135445
-89.5;100.5;b'';2.1136425
-89.5;101.5;b'';2.118478
-89.5;102.5;b'';2.1217504
-89.5;103.5;b'';2.1202786
-89.5;104.5;b'';2.1203394
-89.5;105.5;b'';2.1221406
-89.5;106.5;b'';2.1268194
-89.5;107.5;b'';2.1274633
-89.5;108.5;b'';2.1242309
-89.5;109.5;b'';2.1264825
-89.5;110.5;b'';2.1269975
-89.5;111.5;b'';2.1248322
-89.5;112.5;b'';2.124559
-89.5;113.5;b'';2.1261525
-89.5;114.5;b'';2.1237054
-89.5;115.5;b'';2.123742
-89.5;116.5;b'';2.127558
-89.5;117.5;b'';2.1227503
-89.5;118.5;b'';2.1256194
-89.5;119.5;b'';2.1265826
-89.5;120.5;b'';2.1278942
-89.5;121.5;b'';2.1288898
-89.5;122.5;b'';2.124324
-89.5;123.5;b'';2.1303706
-89.5;124.5;b'';2.1319292
-89.5;125.5;b'';2.1306462
-89.5;126.5;b'';2.1301012
-89.5;127.5;b'';2.128366
-89.5;128.5;b'';2.1278768
-89.5;129.5;b'';2.1263635
-89.5;130.5;b'';2.1241531
-89.5;131.5;b'';2.1202738
-89.5;132.5;b'';2.1191945
-89.5;133.5;b'';2.1242518
-89.5;134.5;b'';2.125416
-89.5;135.5;b'';2.124277
-89.5;136.5;b'';2.118045
-89.5;137.5;b'';2.1147995
-89.5;138.5;b'';2.119745
-89.5;139.5;b'';2.120606
-89.5;140.5;b'';2.117509
-89.5;141.5;b'';2.1124887
-89.5;142.5;b'';2.1192834
-89.5;143.5;b'';2.115894
-89.5;144.5;b'';2.114881
-89.5;145.5;b'';2.1133728
-89.5;146.5;b'';2.1128178
-89.5;147.5;b'';2.1146777
-89.5;148.5;b'';2.1125565
-89.5;149.5;b'';2.1114492
-89.5;150.5;b'';2.1115892
-89.5;151.5;b'';2.111024
-89.5;152.5;b'';2.1108654
-89.5;153.5;b'';2.1100788
-89.5;154.5;b'';2.1112347
-89.5;155.5;b'';2.1090922
-89.5;156.5;b'';2.106343
-89.5;157.5;b'';2.105864
-89.5;158.5;b'';2.1040497
-89.5;159.5;b'';2.102228
-89.5;160.5;b'';2.1005235
-89.5;161.5;b'';2.0947244
-89.5;162.5;b'';2.0998223
-89.5;163.5;b'';2.1027322
-89.5;164.5;b'';2.1012447
-89.5;165.5;b'';2.0991943
-89.5;166.5;b'';2.0991113
-89.5;167.5;b'';2.1007864
-89.5;168.5;b'';2.1009903
-89.5;169.5;b'';2.0972805
-89.5;170.5;b'';2.0957553
-89.5;171.5;b'';2.0962262
-89.5;172.5;b'';2.0946426
-89.5;173.5;b'';2.092826
-89.5;174.5;b'';2.0913098
-89.5;175.5;b'';2.0924363
-89.5;176.5;b'';2.0910451
-89.5;177.5;b'';2.0832698
-89.5;178.5;b'';2.0862777
-89.5;179.5;b'';2.087675
-88.5;-179.5;b'';2.0463762
-88.5;-178.5;b'';2.0452297
-88.5;-177.5;b'';2.041599
-88.5;-176.5;b'';2.0411093
-88.5;-175.5;b'';2.0364518
-88.5;-174.5;b'';2.035171
-88.5;-173.5;b'';2.0365334
-88.5;-172.5;b'';2.0347838
-88.5;-171.5;b'';2.0302308
-88.5;-170.5;b'';2.0290928
-88.5;-169.5;b'';2.0288274
-88.5;-168.5;b'';2.0257297
-88.5;-167.5;b'';2.0189152
-88.5;-166.5;b'';2.0201242
-88.5;-165.5;b'';2.0208983
-88.5;-164.5;b'';2.0193427
-88.5;-163.5;b'';2.0171034
-88.5;-162.5;b'';2.0222778
-88.5;-161.5;b'';2.0251873
-88.5;-160.5;b'';2.025537
-88.5;-159.5;b'';2.0250742
-88.5;-158.5;b'';2.0226364
-88.5;-157.5;b'';2.0242674
-88.5;-156.5;b'';2.0214674
-88.5;-155.5;b'';2.0179005
-88.5;-154.5;b'';2.0112057
-88.5;-153.5;b'';2.0094092
-88.5;-152.5;b'';2.0080185
-88.5;-151.5;b'';2.0078862
-88.5;-150.5;b'';2.005429
-88.5;-149.5;b'';2.0052876
-88.5;-148.5;b'';2.0069895
-88.5;-147.5;b'';2.0082881
-88.5;-146.5;b'';2.0083325
-88.5;-145.5;b'';2.011747
-88.5;-144.5;b'';2.017238
-88.5;-143.5;b'';2.0181854
-88.5;-142.5;b'';2.0218902
-88.5;-141.5;b'';2.0162525
-88.5;-140.5;b'';2.0172698
-88.5;-139.5;b'';2.0202353
-88.5;-138.5;b'';2.0245528
-88.5;-137.5;b'';2.0223026
-88.5;-136.5;b'';2.0281718
-88.5;-135.5;b'';2.0282288
-88.5;-134.5;b'';2.0228772
-88.5;-133.5;b'';2.0207946
-88.5;-132.5;b'';2.0250554
-88.5;-131.5;b'';2.0244482
-88.5;-130.5;b'';2.0248954
-88.5;-129.5;b'';2.0272975
-88.5;-128.5;b'';2.0352407
-88.5;-127.5;b'';2.0306807
-88.5;-126.5;b'';2.0281072
-88.5;-125.5;b'';2.0273187
-88.5;-124.5;b'';2.0290842
-88.5;-123.5;b'';2.030007
-88.5;-122.5;b'';2.036191
-88.5;-121.5;b'';2.0359166
-88.5;-120.5;b'';2.036673
-88.5;-119.5;b'';2.0350404
-88.5;-118.5;b'';2.0353272
-88.5;-117.5;b'';2.0370312
-88.5;-116.5;b'';2.0355296
-88.5;-115.5;b'';2.0345087
-88.5;-114.5;b'';2.03465
-88.5;-113.5;b'';2.0329163
-88.5;-112.5;b'';2.0308182
-88.5;-111.5;b'';2.0324743
-88.5;-110.5;b'';2.032529
-88.5;-109.5;b'';2.029328
-88.5;-108.5;b'';2.025405
-88.5;-107.5;b'';2.0275705
-88.5;-106.5;b'';2.0204213
-88.5;-105.5;b'';2.0170288
-88.5;-104.5;b'';2.0151541
-88.5;-103.5;b'';2.0161457
-88.5;-102.5;b'';2.0143223
-88.5;-101.5;b'';2.0162761
-88.5;-100.5;b'';2.0165424
-88.5;-99.5;b'';2.0147948
-88.5;-98.5;b'';2.014124
-88.5;-97.5;b'';2.0182734
-88.5;-96.5;b'';2.0190215
-88.5;-95.5;b'';2.0168161
-88.5;-94.5;b'';2.016078
-88.5;-93.5;b'';2.0153131
-88.5;-92.5;b'';2.0157995
-88.5;-91.5;b'';2.0181904
-88.5;-90.5;b'';2.0181897
-88.5;-89.5;b'';2.0183253
-88.5;-88.5;b'';2.0175512
-88.5;-87.5;b'';2.0166385
-88.5;-86.5;b'';2.0153184
-88.5;-85.5;b'';2.0160713
-88.5;-84.5;b'';2.0166564
-88.5;-83.5;b'';2.017651
-88.5;-82.5;b'';2.0198472
-88.5;-81.5;b'';2.0193155
-88.5;-80.5;b'';2.0190232
-88.5;-79.5;b'';2.0197315
-88.5;-78.5;b'';2.0184946
-88.5;-77.5;b'';2.0194423
-88.5;-76.5;b'';2.0204184
-88.5;-75.5;b'';2.021777
-88.5;-74.5;b'';2.0224972
-88.5;-73.5;b'';2.0219753
-88.5;-72.5;b'';2.0269246
-88.5;-71.5;b'';2.0254614
-88.5;-70.5;b'';2.0285563
-88.5;-69.5;b'';2.0300105
-88.5;-68.5;b'';2.0299892
-88.5;-67.5;b'';2.0317194
-88.5;-66.5;b'';2.033191
-88.5;-65.5;b'';2.0325022
-88.5;-64.5;b'';2.0325677
-88.5;-63.5;b'';2.0333652
-88.5;-62.5;b'';2.0260544
-88.5;-61.5;b'';2.031696
-88.5;-60.5;b'';2.0327463
-88.5;-59.5;b'';2.0325863
-88.5;-58.5;b'';2.0344677
-88.5;-57.5;b'';2.0358725
-88.5;-56.5;b'';2.0364017
-88.5;-55.5;b'';2.0376575
-88.5;-54.5;b'';2.0391598
-88.5;-53.5;b'';2.0382721
-88.5;-52.5;b'';2.043272
-88.5;-51.5;b'';2.0420964
-88.5;-50.5;b'';2.043377
-88.5;-49.5;b'';2.0449688
-88.5;-48.5;b'';2.0481236
-88.5;-47.5;b'';2.0478053
-88.5;-46.5;b'';2.0490398
-88.5;-45.5;b'';2.0488913
-88.5;-44.5;b'';2.046692
-88.5;-43.5;b'';2.044704
-88.5;-42.5;b'';2.0426672
-88.5;-41.5;b'';2.0459712
-88.5;-40.5;b'';2.0445266
-88.5;-39.5;b'';2.0449
-88.5;-38.5;b'';2.0471172
-88.5;-37.5;b'';2.0496144
-88.5;-36.5;b'';2.0467358
-88.5;-35.5;b'';2.0455363
-88.5;-34.5;b'';2.045946
-88.5;-33.5;b'';2.048557
-88.5;-32.5;b'';2.0519047
-88.5;-31.5;b'';2.051717
-88.5;-30.5;b'';2.0507686
-88.5;-29.5;b'';2.051267
-88.5;-28.5;b'';2.0542047
-88.5;-27.5;b'';2.0536625
-88.5;-26.5;b'';2.0531235
-88.5;-25.5;b'';2.0553415
-88.5;-24.5;b'';2.0564873
-88.5;-23.5;b'';2.0544937
-88.5;-22.5;b'';2.0537152
-88.5;-21.5;b'';2.0612717
-88.5;-20.5;b'';2.0618637
-88.5;-19.5;b'';2.0598316
-88.5;-18.5;b'';2.0570796
-88.5;-17.5;b'';2.055527
-88.5;-16.5;b'';2.0575309
-88.5;-15.5;b'';2.0600178
-88.5;-14.5;b'';2.0604837
-88.5;-13.5;b'';2.0584757
-88.5;-12.5;b'';2.0648441
-88.5;-11.5;b'';2.060646
-88.5;-10.5;b'';2.0628877
-88.5;-9.5;b'';2.0634968
-88.5;-8.5;b'';2.0610392
-88.5;-7.5;b'';2.061791
-88.5;-6.5;b'';2.0594447
-88.5;-5.5;b'';2.0594866
-88.5;-4.5;b'';2.0600677
-88.5;-3.5;b'';2.0612056
-88.5;-2.5;b'';2.0611382
-88.5;-1.5;b'';2.0641103
-88.5;-0.5;b'';2.064534
-88.5;0.5;b'';2.0639956
